date,time,user_name,text,link,retweet_counts,favorite_counts
2019-04-20,06:21:06,nicheinmo,"더불어민주당 광주시당은 성명을 내고 ""누구도 납득하지 못할 솜방망이 징계로 또다시 국민을 모욕했다""며 ""망언 이후 국민적 저항이 거세자 납작 엎드리더니 결국은 '쇼'에 불과했던 것""이라고 비판했다. ",https://twitter.com/nicheinmo/status/1119486127906250752,1,0
2019-04-20,05:47:43,kkungxi,더불어민주당선거운동하듯입구갈꼬야,https://twitter.com/kkungxi/status/1119477725159247872,0,0
2019-04-20,05:45:31,jinsungjoon_bot,그런 점에서 보면 총선 준비에 가장 먼저 들어간 것이 민주당인데 현재와 같은 의석 구조로는 국정을 안정적으로 뒷받침할 수 없다 라고 하는 당내의 깨달음 때문에 시작된 게 아닌가 저는 그렇게 생각합니다. #진성준 #더불어민주당 ,https://twitter.com/jinsungjoon_bot/status/1119477172396183552,7,9
2019-04-20,05:42:33,jinsungjoon_bot,“그것은 그만큼 '지금 지형의 국회를 가지고는 도대체 대통령의 국정개혁을 뒷받침할 수가 없고 국정을 안정적으로 뒷받침할 수가 없다' 라고 하는 절실함 속에서 오히려 총선체제로 조기에 돌입해 들어가는 게 아닌가 그런 생각이 들어요.” #진성준 #더불어민주당 #국회방송,https://twitter.com/jinsungjoon_bot/status/1119476424895651840,12,7
2019-04-20,05:34:43,jinsungjoon_bot,(2019.04.19 국회 방송 왈가왈부) 문재인 대통령의 그동안의 집권 기간 동안에 대통령이 경제의 구조를 바꾸고 또 한반도의 정세를 바꾸기 위해서 지단한 노력을 펼쳐왔습니다. 비난을 감수하면서까지 그런데 그런 일들이 모두 다 국회에서 좌절 당한 예가 너무 많았습니다. #진성준 #더불어민주당 ,https://twitter.com/jinsungjoon_bot/status/1119474455644819456,45,38
2019-04-20,05:16:08,unnew4,국민들이 정치보다는 경제를원하지 정치따윈 필요없다 아직도 대그룹협박해서 삥땅뜯나 많이뜯어먹어 문재인더불어민주당홧팅^^,https://twitter.com/unnew4/status/1119469778937077766,0,0
2019-04-20,05:10:29,bangbanghh,서울대 트루스포럼 vs 더불어민주당 서울대지부 대자보 격돌 (출처 : GMW연합 | 블로그) ,https://twitter.com/bangbanghh/status/1119468354337554437,0,0
2019-04-20,05:10:07,unnew4,이래가지고 경제 청년실업 해결돼나 위대하신 경제패망국문재인과더불어민주당나리들^^,https://twitter.com/unnew4/status/1119468265854517248,0,0
2019-04-20,05:10:03,KBSnews,더불어민주당과 자유한국당은 주말인 오늘(20일)도 문재인 대통령의 이미선 헌법재판관 임명 강행에 따른 #대치 를 이어가고 있습니다.,https://twitter.com/KBSnews/status/1119468245780590593,9,11
2019-04-20,04:46:20,wkdbfh,지랄도 풍년일세! 더불어민주당 간판으로 당선되어 국민의당-&gt;바른미래당-&gt;자유한국당으로 이적? 지금까지 이런국회원은 없었다! 이제 남은것은 지옥당인가?,https://twitter.com/wkdbfh/status/1119462280159096833,0,2
2019-04-20,04:35:16,coolsungwoo,더불어민주당 대표 포함해서 개소리하는 각개 의원들이 문재인정부를 어떻게 깍아 내리고 있는지를 봐야지 그 개지랄을 우리편이랍시고 감싸고 있어 ㅋㅋㅋ 그렇게 감싸 돌다가 망한게 열린우리당 아니냐? 그 지랄염병을 민주당이 하고 있는데 또 감싸? 목표가 제2 열우당이야?,https://twitter.com/coolsungwoo/status/1119459493539004416,0,1
2019-04-20,03:08:27,tpfusehlsqhtn,“그럼에도 이런 이야기를 하는 이유는 더불어민주당의 자만 때문. 민주당은 필승전략은커녕 2030세대에게 소구할 전략을 짜야겠다는 생각조차 하지 않고 있다. 현 지지율도 충분히 높으니 어떻게 하더라도 승리할 수 있을 것이라 보고 있다...전략이 절실히 필요한 순간이 왔을 때는 이미 늦었다”,https://twitter.com/tpfusehlsqhtn/status/1119437646743257093,2,2
2019-04-20,02:05:47,nocturnal12_12,"더불어민주당은 20일 자유한국당이 서울 도심에서 대규모 집회를 여는 데 대해 ""지금 장외투쟁을 할 때가 아니라 국회에서 국정에 대해 비판할 것은 비판하고 협조할 것은 협조하면서 민생을 위해 일해야 할 때""라고 비판했다.https://news.v.daum.net/v/20190420094242927?f=m",https://twitter.com/nocturnal12_12/status/1119421877020028930,7,4
2019-04-20,02:04:45,youngjin6690,나주시-더불어민주당 나주화순지역위원회 당정협의회 개최 (출처 : 최용진 기.. | https://youngjin6690.blog.me/221518258511 블로그) http://me2.do/FY8SddMX,https://twitter.com/youngjin6690/status/1119421615182245888,0,0
2019-04-20,01:45:33,zerostar222,"자유한국당이 청와대의 이미선 후보자 헌법재판관 임명 방침에 반발하며 장외투쟁을 선언하자, 더불어민주당 홍영표 원내대표는 “다섯 달 째 일은 안하고 정쟁만 하더니 이제는 장외 투쟁까지 하겠다고 한다”고 비판했다. ",https://twitter.com/zerostar222/status/1119416781431427072,0,0
2019-04-20,01:43:46,AmbitiousPaloma,"민주당에서 한나라당, 다시 열린우리당, 다시 더불어민주당... 조만간 말을 갈아탈 때가 다가오는모양이구만~ 인간은 쉽게 바뀌지않는다. 대구에서 또 떨어져봐야 정신차리지... ",https://twitter.com/AmbitiousPaloma/status/1119416335472058368,0,0
2019-04-20,01:41:34,chongjuhigh,이자리에여당의원들은볼수없었다.7명의더불어민주당소속국방위원들은 아무도행사에참석하지않았다.해병대에서는여야국방위원들에게모두참석요청을 했다고한다.이때문에이날행사보도자료에국회의원참석명단을구체적으로밝히지 않은것도여당측불참을감추기위한꼼수’가아니냐는지적도나왔다.(중안일보),https://twitter.com/chongjuhigh/status/1119415779676438529,0,0
2019-04-20,00:59:18,ihngeun,"[고칠레오 10회] 현수막에 담긴 자유한국당의 속셈? -심상정 정의당 의원 , 김종민 더불어민주당 의원 https://youtu.be/fi0BhiRdVaM?list=PLtAbTqMyJif9cYv-1aLkhLLFcc_L6rCLa @YouTube 님이 공유",https://twitter.com/ihngeun/status/1119405145433894913,0,0
2019-04-20,00:38:33,minwoon,6.25까지 얼마남지 않았다. 69년전 김성주 빨갱이의 광기에 맞서 싸운 호국영령들에게 더불어민주당은 부끄럽지 않은가? 더불어노동당으로 당명을 바꾸는게 어떤가? 대한민국이 민주국가 아니냐? 그렇탐 영삼-대중-무현15년동안 너들은 뭐했었냐?,https://twitter.com/minwoon/status/1119399922581639169,4,4
