date,time,user_name,text,link,retweet_counts,favorite_counts
2020-04-13,00:23:44,hedgehog_barley,엔1번.방녀 이거 디시발 분탕이라던데 ㅠ 이제좀 가라앉혀져야 하는데 아침에 일어난사람들까지 더해지니까 실트에 계속 있는것같음 우리이거언급좀 그만해요 팬덤이고자시고 실트에 이런단어 올라가있는거 보기싫어,https://twitter.com/hedgehog_barley/status/1249493437486751744,0,0
2020-04-12,22:10:28,curryricem,대체 뭔일이 있었던 거야 왜 이런 단어가 미자 여돌 이름 옆에 나돌아다니는 거야 ???????? 어그로에게 먹이 주지 말고 연검 정화 합시다.... 생각할 수록 빡치네 아니 생각 안해도 빡침 그게 타인을 조롱하기 위한 용도로나 쓰이는 사건이었나? 지금도 고통받든 피해자들이 수두룩한데?,https://twitter.com/curryricem/status/1249459900284985344,1,0
2020-04-12,18:18:03,samtalk_Choyeon,"책에 불, 역경, 공손 뭐 이런단어 나오면 버튼눌려서 존나급발진함",https://twitter.com/samtalk_Choyeon/status/1249401410132664323,0,3
2020-04-12,17:26:41,chreaazryt,이런 단어 ㅌㄴ ㅍㅋ할 때 쓰고 ㄱㅅ한테 처음 써봄 그래서 5년 째 오티피인 거임 .. 규순 이 내 오티피 인 이유 ......,https://twitter.com/chreaazryt/status/1249388482046222336,0,1
2020-04-12,17:24:49,dickiebird_lha,이름이란거 되게 신기한게 인구가 아무리 많은 나라여도 공통으로 쓰이는 이름 몇가지가 있어보이더라.. 이름으로 튀지 말아라 인걸까 이름은 이런 단어 여야해 라고 정햐진 뭔가가 있는건가... 나는 원래 이름 생판 딴거되려다가 항렬 맞춰야된다고 현자돌림 되어버린 사람,https://twitter.com/dickiebird_lha/status/1249388013756399616,0,0
2020-04-12,17:00:04,mubebg_WX,붉은색 해 일편단심 이런 단어들 저쪽차원 덕질하면서 봐왔던거라 국가는 달라도 세뇌는 비슷하게 하는구나 싶다,https://twitter.com/mubebg_WX/status/1249381784627732482,0,1
2020-04-12,16:33:51,_1004__jh,슈아는 진짜 상냥 고상 우아 이런단어 넘 잘어울리는 사람 ,https://twitter.com/_1004__jh/status/1249375185729236994,0,1
2020-04-12,16:23:18,jaeinamovie,ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋ 하 근데 인연 필연 이런 단어 저 진짜 너무 좋아해요....... 운명... 너무 사랑함,https://twitter.com/jaeinamovie/status/1249372530965528576,0,0
2020-04-12,15:44:27,woozoo_munzi,걍 갑자기말하고싶은거.. 설령 가령 이를테면 이런 단어들 너무조아하는편 ..... 너무......좋음 왜좋은지모르겠지맘,https://twitter.com/woozoo_munzi/status/1249362753254338562,0,2
2020-04-12,15:35:51,rabe_1119,시발 이런 단어가 왜 있어 ,https://twitter.com/rabe_1119/status/1249360589001863169,1,1
